Player ID,First Name,Last Name,Primary Position,Secondary Position,Salary ($),Total Points,Average Points
294101,Jason,Johannisen,DEF,,834000,754,83.8
998215,Will,Setterfield,MID,,833000,396,99.0
291856,Tom,Mitchell,MID,,829000,467,77.8
294859,Jeremy,McGovern,DEF,,825000,1527,80.4
992049,Jayden,Short,DEF,,825000,1770,80.5
993107,Harry,Himmelberg,DEF,,825000,1849,80.4
296359,Christian,Salem,DEF,,824000,1365,80.3
1006058,Bailey,Scott,MID,,821000,1840,80.0
994185,Jordan,De Goey,MID,,819000,1038,79.8
1001195,Izak,Rankine,FWD,,819000,1197,79.8
270917,Patrick,Dangerfield,MID,,816000,1114,79.6
298264,Ed,Langdon,MID,,814000,1745,79.3
260257,Scott,Pendlebury,MID,,812000,1583,79.2
1011936,Justin,McInerney,MID,,811000,1343,79.0
296420,Alex,Neal-Bullen,MID,FWD,811000,1817,79.0
1011659,Tom,Powell,MID,,807000,1810,78.7
1009399,Luke,Jackson,RUC,FWD,807000,1808,78.6
1000223,Liam,Baker,MID,FWD,805000,1413,78.5
998260,Jack,Bowes,MID,,805000,1569,78.5
1002253,Kane,Farrell,DEF,,804000,1724,78.4
1023477,George,Wardlaw,MID,,803000,1408,78.2
1017094,Connor,Macdonald,FWD,,800000,1794,78.0
998145,Sean,Darcy,RUC,,798000,933,77.8
1005144,Massimo,D'Ambrosio,MID,,798000,1712,77.8
296254,Jarman,Impey,DEF,,798000,1788,77.7
996701,Clayton,Oliver,MID,,797000,1632,77.7
1002222,James,Worpel,MID,,796000,1784,77.6
281065,Mitch,Duncan,DEF,,795000,1549,77.5
1009253,Lachie,Ash,DEF,,794000,1315,77.4
1001398,Matthew,Kennedy,MID,FWD,791000,1773,77.1
291969,Stephen,Coniglio,MID,,789000,1000,76.9
1017109,Jake,Soligo,MID,,789000,1768,76.9
1023266,Finn,Callaghan,MID,,789000,1691,76.9
296324,Jesse,Hogan,FWD,,788000,1766,76.8
993946,Ben,Keays,FWD,,786000,1763,76.7
998103,Oliver,Florent,DEF,,785000,1760,76.5
1013462,Jase,Burgoyne,MID,,785000,1531,76.6
996554,Jake,Waterman,FWD,,785000,1531,76.6
294643,Alex,Sexton,DEF,,783000,1145,76.3
295518,Sam,Docherty,MID,,782000,48,48.0
993998,Jy,Simpkin,MID,FWD,781000,1371,76.2
1012210,Matt,Roberts,DEF,,780000,1521,76.1
295342,Jake,Lloyd,DEF,MID,779000,1746,75.9
281085,Steven,May,DEF,,778000,1440,75.8
1017126,Sam,Darcy,FWD,,778000,1517,75.9
1012819,Josh,Treacy,FWD,,778000,1517,75.9
992351,Bailey,Williams,MID,,773000,1733,75.3
1017067,Darcy,Wilmot,DEF,,771000,1728,75.1
1004870,Zach,Guthrie,DEF,,770000,1726,75.0
1009191,Miles,Bergman,DEF,MID,770000,1727,75.1
250365,Travis,Boak,MID,,769000,1499,75.0
1012862,Elijah,Hollands,FWD,,769000,1573,74.9
291783,Dylan,Shiel,MID,,769000,695,77.2
1007881,Wil,Powell,DEF,,767000,1345,74.7
1000072,John,Noble,DEF,,763000,1487,74.4
295584,Bradley,Hill,MID,FWD,762000,1633,74.2
1008550,Will,Day,MID,,760000,1185,74.1
998205,Harry,Perryman,DEF,,759000,1406,74.0
993905,Callum,Mills,DEF,,759000,419,69.8
998529,Ivan,Soldo,RUC,,758000,580,72.5
1007124,Conor,Nash,MID,,758000,1700,73.9
996731,Charlie,Curnow,FWD,,758000,1551,73.9
296422,Callum,Wilkie,DEF,,758000,1700,73.9
993799,Brayden,Fiorini,MID,,758000,886,73.8
998134,Josh,Battle,DEF,,757000,1696,73.7
298524,Lachie,Weller,DEF,,756000,397,66.2
1012857,Jack,Ginnivan,FWD,,755000,1546,73.6
993993,Shai,Bolton,MID,FWD,754000,1617,73.5
1002264,Hunter,Clark,MID,,754000,808,73.5
295344,Toby,Greene,FWD,,751000,1610,73.2
280965,Steele,Sidebottom,MID,,749000,1606,73.0
1021013,Ned,Moyle,RUC,,749000,621,77.6
1009380,Jeremy,Sharp,MID,,749000,1680,73.0
993878,Shaun,Mannagh,FWD,,748000,729,72.9
1025034,Oliver,Dempsey,MID,,747000,1674,72.8
1008083,Connor,Idun,DEF,,745000,1669,72.6
1002239,Adam,Cerra,MID,,745000,871,72.6
290627,Dion,Prestia,MID,,743000,941,72.4
280109,Callan,Ward,MID,,738000,1295,71.9
994386,Tom,Atkins,MID,,732000,1426,71.3
295467,Jack,Macrae,FWD,,732000,1285,71.4
290550,Cameron,Guthrie,MID,,731000,253,63.3
290826,Jamie,Cripps,FWD,,729000,1634,71.0
992010,Brayden,Maynard,DEF,,729000,1634,71.0
295461,Adam,Saad,DEF,,727000,1205,70.9
298630,Kyle,Langford,FWD,,724000,1623,70.6
1012805,Tanner,Bruhn,MID,,723000,1057,70.5
1023270,Marcus,Windhager,MID,,722000,1056,70.4
1031829,James,Trezise,DEF,,719000,355,50.7
1023515,Archie,Roberts,DEF,MID,715000,340,85.0
1019938,Logan,Evans,DEF,,714000,696,69.6
297255,Mitch,McGovern,DEF,,712000,1179,69.4
1002312,Zac,Bailey,MID,FWD,709000,1244,69.1
1008454,Connor,Budarick,DEF,,709000,490,61.3
992059,Sam,Switkowski,FWD,,708000,1381,69.1
1013464,Lawson,Humphries,DEF,,706000,638,70.9
1003130,Patrick,Lipinski,MID,FWD,705000,1580,68.7
1011981,Josh,Worrell,DEF,,705000,893,68.7
296733,Mark,Blicavs,MID,,704000,1509,68.6
1000864,Lachlan,Bramble,DEF,,704000,1579,68.7
993816,Darcy,Tucker,DEF,MID,703000,1576,68.5
996765,Tom,Papley,FWD,,701000,1229,68.3
298290,Marc,Pittonet,RUC,,701000,888,68.3
997033,Brennan,Cox,DEF,,696000,466,51.8
998114,Jack,Scrimshaw,DEF,,694000,1488,67.6
291776,Taylor,Adams,MID,FWD,693000,1283,67.5
1002235,Cam,Rayner,FWD,,693000,1554,67.6
295265,Nick,Haynes,DEF,,690000,572,71.5
1005577,Sam,Draper,RUC,,687000,1072,67.0
1023492,Harley,Reid,MID,,685000,1334,66.7
1009241,Brodie,Kemp,DEF,,684000,1333,66.7
1011994,Ryan,Byrnes,MID,,683000,999,66.6
998484,Cameron,Zurhaar,FWD,,681000,1461,66.4
997100,Will,Hayward,FWD,,679000,1523,66.2
1015329,Billy,Dowling,MID,,678000,613,68.1
1008541,Kysaiah,Pickett,FWD,,677000,1386,66.0
293884,Jake,Stringer,FWD,,676000,1515,65.9
1013257,Sam,Clohesy,MID,,675000,1315,65.8
297899,James,Harmes,MID,FWD,674000,559,69.9
992128,Ryan,Burton,DEF,,673000,853,65.6
280317,Rhys,Stanley,RUC,,673000,787,65.6
1013224,Heath,Chapman,DEF,,673000,1050,65.6
1027875,Darcy,Wilson,MID,FWD,671000,1505,65.4
990740,Rory,Lobb,DEF,,670000,979,65.3
1015370,Max,Michalanney,DEF,,669000,1499,65.2
291548,Ryan,Lester,DEF,,668000,1497,65.1
295067,James,Aish,DEF,,668000,1303,65.2
1006133,Jack,Ross,MID,,668000,446,63.7
998130,Ben,Ainsworth,FWD,,668000,1106,65.1
1015873,Archie,Perkins,MID,,667000,1174,65.2
999391,Tom,Sparrow,MID,,665000,1362,64.9
993832,Jacob,Weitering,DEF,,665000,1361,64.8
1003203,Hayden,McLean,FWD,,665000,1491,64.8
993794,Blake,Hardwick,DEF,,664000,1489,64.7
1021031,Luke,Nankervis,DEF,,662000,1290,64.5
291313,Jeremy,Howe,DEF,,662000,1226,64.5
990827,Jack,Graham,MID,FWD,662000,903,64.5
298289,Peter,Wright,FWD,,661000,902,64.4
1017051,Josh,Rachele,FWD,,661000,1417,64.4
997230,Tyson,Stengle,FWD,,660000,1480,64.3
1017396,Mac,Andrew,DEF,,659000,1285,64.3
293801,Jamie,Elliott,FWD,,659000,963,64.2
291748,Brodie,Smith,DEF,,657000,961,64.1
993820,Tom,Cole,DEF,,656000,1471,64.0
1017063,Toby,Conway,RUC,,656000,376,75.2
1017939,Ryley,Sanders,MID,FWD,656000,895,63.9
1020137,Mattaes,Phillipou,MID,FWD,656000,831,63.9
1006114,Bailey J.,Williams,RUC,,656000,1467,63.8
298280,Jayden,Laverde,DEF,,655000,1341,63.9
1010174,Mitch,Georgiades,FWD,,652000,1080,63.5
296351,Jack,Billings,MID,FWD,652000,1017,63.6
996059,Harris,Andrews,DEF,,651000,1396,63.5
1002256,Paddy,Dow,MID,,649000,633,63.3
291533,Tom,McDonald,DEF,,648000,1389,63.1
1013974,Mark,Keane,DEF,,646000,1322,63.0
1006533,Riley,Garcia,FWD,,645000,692,62.9
294596,Tim,Membrey,FWD,,641000,1187,62.5
1012825,Jake,Bowey,DEF,,641000,875,62.5
1023495,Oliver,Hollands,MID,,640000,1373,62.4
1009301,Jamarra,Ugle-Hagan,FWD,,640000,1310,62.4
994385,Jayden,Hunt,DEF,MID,639000,1245,62.3
1008384,Riley,Thilthorpe,FWD,,638000,478,68.3
1000860,Lachie,Schultz,FWD,,638000,1244,62.2
998180,Bailey,Banfield,FWD,,638000,1369,62.2
294469,Aliir,Aliir,DEF,,638000,1367,62.1
1016825,Matthew,Johnson,MID,,636000,1178,62.0
294613,Jaeger,O'Meara,MID,,636000,1364,62.0
280506,Taylor,Walker,FWD,,635000,1114,61.9
1006013,James,Peatling,MID,,634000,1050,61.8
295203,Nathan,Broad,DEF,,632000,1356,61.6
1017665,Bodhi,Uwland,DEF,,631000,1292,61.5
993953,Eric,Hipwood,FWD,,630000,1228,61.4
1004095,Jack,Lukosius,FWD,,629000,1287,61.3
993940,Corey,Wagner,DEF,,628000,734,61.2
1011803,Cody,Weightman,FWD,,628000,979,61.2
1005330,Kade,Chandler,FWD,,627000,1405,61.1
1027704,Joel,Freijah,DEF,,627000,733,61.1
290085,Taylor,Duryea,DEF,,625000,1280,61.0
1013409,James,Jordon,MID,FWD,625000,1400,60.9
294685,Zac,Williams,DEF,FWD,624000,1095,60.8
1002245,Noah,Balta,DEF,FWD,624000,1155,60.8
1002227,Jack,Higgins,FWD,,624000,1217,60.9
1011954,Nick,Bryan,RUC,,623000,357,71.4
993902,Matt,Flynn,RUC,,622000,244,61.0
1015781,Charlie,Comben,DEF,,622000,1149,60.5
1023708,Jaspa,Fletcher,MID,,620000,1390,60.4
1009708,Jack,Buckley,DEF,,620000,1270,60.5
296355,Luke,McDonald,DEF,,619000,1327,60.3
1005326,Jackson,Mead,MID,FWD,619000,1387,60.3
997846,Conor,McKenna,DEF,,619000,845,60.4
1013268,Alex,Davies,MID,,618000,463,66.1
1002404,Aaron,Naughton,FWD,,618000,1144,60.2
1023025,Reuben,Ginbey,MID,,617000,1383,60.1
271129,Todd,Goldstein,RUC,,614000,838,59.9
291570,Nat,Fyfe,MID,,613000,1316,59.8
1014026,Kai,Lohmann,FWD,,613000,1375,59.8
1008123,Jake,Riccardi,FWD,,613000,1135,59.7
1006203,Chayce,Jones,MID,,613000,956,59.8
1006127,Rhylee,West,FWD,,612000,1252,59.6
1012829,Will,Phillips,MID,,609000,653,59.4
994077,Mabior,Chol,FWD,,609000,1247,59.4
298437,Callum,Ah Chee,FWD,,609000,1305,59.3
296291,Jake,Kolodjashnij,DEF,,607000,1301,59.1
294472,Rory,Atkins,DEF,,606000,126,42.0
1027935,Josh,Weddle,DEF,,606000,1359,59.1
1000887,Mitch,Lewis,FWD,,605000,175,43.8
1017703,Judd,McVee,DEF,,605000,1357,59.0
1027821,Caleb,Windsor,MID,,605000,1121,59.0
1012807,Sam,Berry,MID,,604000,1060,58.9
1013230,Logan,McDonald,FWD,,604000,1353,58.8
1005992,Joel,Jeffrey,DEF,,604000,706,58.8
290757,Jimmy,Webster,DEF,,603000,882,58.8
291720,Will,Hoskin-Elliott,FWD,,602000,1173,58.7
990290,Tom,Barrass,DEF,,602000,1056,58.7
291849,Brody,Mihocek,FWD,,602000,645,58.6
1026960,Will,Graham,MID,,601000,996,58.6
1002795,Jordan,Boyd,DEF,,601000,1113,58.6
999331,Darcy,Fogarty,FWD,,601000,1348,58.6
990609,Charlie,Cameron,FWD,,601000,1348,58.6
1004364,Liam,Ryan,FWD,,600000,935,58.4
1023785,Elijah,Tsatas,MID,,600000,257,36.7
1023167,Brady,Hough,DEF,,600000,1345,58.5
1023482,Cam,Mackenzie,MID,,598000,1165,58.3
1006130,Bailey,Smith,MID,FWD,598000,0,0.0
293581,Lincoln,McCarthy,FWD,,593000,492,61.5
1008139,Toby,Bedford,MID,FWD,591000,1267,57.6
991988,Zak,Jones,MID,,589000,746,57.4
1023272,Mitch,Owens,FWD,,588000,1319,57.3
1005988,Liam,Henry,FWD,,588000,688,57.3
1017720,Jacob,van Rooyen,FWD,,586000,1200,57.1
1011589,Caleb,Poulter,MID,,586000,439,62.7
996232,Matt,Guelfi,FWD,,583000,739,56.8
298111,Jeremy,Finlayson,FWD,,583000,682,56.8
991930,Darcy,Byrne-Jones,FWD,,582000,1305,56.7
1016433,Shannon,Neale,FWD,,581000,736,56.6
1004385,Oscar,Allen,FWD,,580000,622,56.5
1021353,Lachlan,Cowan,DEF,,580000,904,56.5
1000963,Harry,Morrison,MID,,580000,565,56.5
990882,Wayne,Milera,DEF,,579000,187,62.3
1002947,Paul,Curtis,FWD,,578000,1299,56.5
1017110,Josh,Ward,MID,,577000,562,56.2
298281,Jake,Lever,DEF,,576000,1010,56.1
1006148,Bobby,Hill,FWD,,576000,1291,56.1
291351,Jack,Gunston,FWD,,575000,897,56.1
1001396,Isaac,Cumming,MID,,575000,245,61.3
999326,Brad,Close,FWD,,574000,1286,55.9
993917,Ben,Long,FWD,,573000,950,55.9
997142,Peter,Ladhams,RUC,FWD,571000,37,37.0
1023473,Nick,Watson,FWD,,569000,888,55.5
1001017,Nick,Larkey,FWD,,567000,1272,55.3
1009410,Brandon,Walker,DEF,,565000,1047,55.1
1009229,Sam,De Koning,DEF,,564000,1045,55.0
1007102,Mark,O'Connor,DEF,MID,563000,713,54.8
298421,Jade,Gresham,FWD,,563000,1207,54.9
1008478,Rhyan,Mansell,FWD,,562000,1151,54.8
1017087,Harvey,Gallagher,MID,,562000,1041,54.8
1011755,Harrison,Jones,FWD,,562000,1150,54.8
1020650,Darcy,Jones,FWD,,562000,657,54.8
1023640,Koltyn,Tholstrup,FWD,,559000,545,54.5
1000937,Jack,Henry,DEF,,559000,1254,54.5
1002403,Ben,Miller,DEF,,559000,1144,54.5
1004530,Jacob,Wehr,MID,,557000,597,54.3
1002143,Ben,McKay,DEF,,556000,1247,54.2
1011985,Hugo,Ralphsmith,MID,,551000,966,53.7
1012833,Eddie,Ford,FWD,,551000,966,53.7
1004998,Todd,Marshall,FWD,,550000,965,53.6
290838,Jack,Darling,FWD,,550000,1125,53.6
291753,Sam,Day,FWD,,549000,315,63.0
295446,Sam,Collins,DEF,,549000,1233,53.6
997316,Lewis,Young,DEF,,547000,431,53.9
1008752,Kieran,Strachan,RUC,,546000,140,70.0
1008089,Isaac,Quaynor,DEF,,546000,1224,53.2
1006144,Ben,King,FWD,,546000,1171,53.2
1027899,Nate,Caddy,FWD,,545000,531,53.1
1008855,Oskar,Baker,MID,,544000,338,56.3
1004757,Beau,McCreery,FWD,,544000,902,53.1
1015827,Nik,Cox,MID,,543000,1058,52.9
1000998,Lachlan,Murphy,FWD,,542000,898,52.8
298211,Darcy,Fort,RUC,,542000,139,69.5
1032108,Cooper,Lord,MID,,542000,139,69.5
296225,Willie,Rioli,FWD,,541000,896,52.7
291978,Harry,Cunningham,DEF,,539000,1051,52.6
1017122,Blake,Howes,DEF,,537000,837,52.3
1007099,Harry,Sharp,MID,,536000,274,45.7
1009015,Lachlan,McNeil,FWD,,535000,574,52.2
1002347,Jack,Payne,DEF,,533000,727,51.9
1009226,Thomson,Dow,MID,,529000,877,51.6
1005247,Sam,Taylor,DEF,,528000,824,51.5
1006143,Max,King,FWD,,528000,617,51.4
281078,Liam,Jones,DEF,,527000,1027,51.4
1023680,Henry,Hustwaite,MID,,526000,91,22.8
1005053,Noah,Answerth,DEF,,523000,612,51.0
1009195,Dylan,Williams,DEF,,523000,200,40.0
1002228,Lachie,Fogarty,FWD,,521000,761,50.7
1006059,Keidean,Coleman,DEF,,521000,34,34.0
1008893,Harrison,Petty,FWD,,521000,1016,50.8
1008312,Liam,Stocker,DEF,,520000,811,50.7
998647,Mason,Cox,RUC,FWD,517000,807,50.4
1004034,Brandon,Zerk-Thatcher,DEF,,517000,1158,50.3
1018018,Cooper,Sharman,FWD,,515000,904,50.2
1008882,Charlie,Ballard,DEF,,515000,1157,50.3
993480,Dougal,Howard,DEF,,514000,752,50.1
295136,Caleb,Daniel,MID,FWD,514000,752,50.1
1001438,Bayley,Fritsch,FWD,,514000,1152,50.1
1001024,Ned,Reeves,RUC,,512000,209,52.3
1008154,Matthew,Cottrell,MID,FWD,512000,698,49.9
294508,Aidan,Corr,DEF,,511000,1145,49.8
1023275,Seth,Campbell,FWD,,510000,1044,49.7
291848,Robbie,Fox,DEF,FWD,510000,795,49.7
1020594,Jye,Amiss,FWD,,508000,1090,49.5
298409,Alex,Pearce,DEF,,508000,743,49.5
1017086,Tom,Brown,DEF,,506000,887,49.3
1008239,Joe,Richards,FWD,,506000,458,50.9
1002220,Esava,Ratugolea,DEF,,506000,987,49.4
1005199,Elliott,Himmelberg,FWD,,506000,458,50.9
1006100,Thomas,Berry,FWD,,505000,837,49.2
297456,Nick,Holman,MID,FWD,505000,1032,49.1
1009421,Finn,Maginness,MID,FWD,505000,541,49.2
999321,Michael,Frederick,FWD,,504000,983,49.2
1013973,Matthew,Owies,FWD,,501000,1124,48.9
1008091,Joel,Amartey,FWD,,499000,1070,48.6
993979,Sam,Powell-Pepper,FWD,,498000,170,56.7
1017088,Ben,Hobbs,FWD,,498000,578,48.2
1013611,Sam,Sturt,FWD,,496000,628,48.3
1006550,Jack,Petruccelle,FWD,,495000,772,48.3
298288,Darcy,Moore,DEF,,495000,1109,48.2
1024279,Arie,Schoenmaker,DEF,,494000,235,58.8
998390,Changkuoth,Jiath,MID,,492000,527,47.9
1023784,Anthony,Caminiti,FWD,,492000,719,47.9
1009317,Bruce,Reville,MID,,491000,574,47.8
1012218,Luke,Pedlar,FWD,,490000,99,24.8
297504,Daniel,McStay,FWD,,490000,281,56.2
1013133,Braeden,Campbell,MID,,490000,955,47.8
1004848,Dylan,Stephens,MID,,489000,763,47.7
1006135,Xavier,O'Halloran,MID,FWD,488000,809,47.6
1009029,James,Borlase,DEF,,488000,476,47.6
294592,Kamdyn,McIntosh,MID,,486000,1043,47.4
1023537,Jhye,Clark,MID,,485000,709,47.3
290307,Dane,Rampe,DEF,,485000,851,47.3
298470,Shane,McAdam,FWD,,484000,133,44.3
1006030,Jacob,Koschitzke,FWD,,484000,660,47.1
1009551,Maurice,Rioli,FWD,,483000,437,48.6
998129,Will,Brodie,MID,,481000,0,0.0
1002401,Brandon,Starcevich,DEF,,479000,794,46.7
1032966,James,O'Donnell,DEF,,478000,606,46.6
998480,Lachlan,Sullivan,MID,,477000,465,46.5
1027925,Harvey,Thomas,FWD,,475000,1019,46.3
1013165,Andy,Moniz-Wakefield,DEF,,473000,314,52.3
1015777,Ryan,Angwin,MID,,471000,224,56.0
996692,Marty,Hore,DEF,,471000,313,52.2
280824,Jake,Melksham,FWD,,470000,352,44.0
298358,Oleg,Markov,DEF,,469000,549,45.8
1012828,Finlay,Macrae,MID,FWD,468000,359,39.9
1008198,Tom,McCartin,DEF,,467000,864,45.5
1023500,Bailey,Humphrey,FWD,,465000,951,45.3
1012860,Oliver,Henry,FWD,,464000,950,45.2
1020371,Jack,Williams,FWD,,464000,814,45.2
1011583,Lachie,Jones,DEF,,460000,807,44.8
992374,Dan,Butler,FWD,,460000,717,44.8
1017114,Tyler,Sonsie,FWD,,459000,626,44.7
1008747,Mykelti,Lefau,FWD,,459000,447,44.7
1005000,Laitham,Vandermeer,FWD,,458000,1026,44.6
1004985,Ben,Paton,DEF,FWD,458000,103,25.8
1001028,Jack,Silvagni,FWD,,455000,0,0.0
281007,Michael,Walters,FWD,,454000,752,44.2
1009197,Charlie,Dean,DEF,,454000,377,47.1
1017078,Josh,Sinn,DEF,,452000,215,53.8
1008230,Nick,Murray,DEF,,451000,408,45.3
1012386,Samson,Ryan,RUC,FWD,450000,284,35.5
1017700,Jesse,Motlop,FWD,,449000,215,35.8
1020968,Jackson,Archer,DEF,,449000,657,43.8
1019038,Aaron,Cadman,FWD,,449000,919,43.8
1013197,Sam,Banks,MID,,448000,655,43.7
998782,Buku,Khamis,DEF,,448000,743,43.7
1020339,Angus,Sheldrick,MID,,448000,0,0.0
1028019,Logan,Morris,FWD,,445000,651,43.4
1032100,Calsher,Dear,FWD,,445000,650,43.3
1017128,Dante,Visentini,RUC,,443000,164,54.7
1013220,Nathan,O'Driscoll,MID,,441000,101,50.5
296190,Jack,Martin,FWD,,438000,93,31.0
1024666,Lloyd,Johnston,FWD,,437000,328,46.9
1022915,Edward,Allan,MID,,437000,112,56.0
293813,Tom,Lynch,FWD,,435000,163,40.8
1020250,Neil,Erasmus,MID,FWD,435000,103,25.8
1023496,Noah,Long,FWD,,434000,305,43.6
1020959,Daniel,Turner,FWD,,434000,634,42.3
1003520,Darragh,Joyce,DEF,,433000,288,48.0
990816,Aaron,Francis,DEF,,433000,248,49.6
1021103,Mitch,Knevitt,MID,,431000,165,41.3
1004995,Jordon,Butts,DEF,,431000,630,42.0
1016268,Alex,Cincotta,DEF,,430000,671,41.9
1000068,Chris,Burgess,FWD,,428000,321,45.9
1017065,Zac,Taylor,MID,FWD,427000,386,42.9
1027971,Toby,McMullin,FWD,,427000,541,41.6
290314,Lachlan,Keeffe,RUC,,427000,158,52.7
1008543,Harry,Schoenberg,FWD,,427000,167,41.8
1014038,Callum M.,Brown,FWD,,426000,540,41.5
1018335,Brayden,Cook,FWD,,425000,622,41.5
294013,Sean,Lemmens,DEF,,424000,157,52.3
290832,David,Swallow,DEF,FWD,424000,826,41.3
1005986,Malcolm,Rosas,FWD,,422000,285,40.7
1029416,Ryan,Maric,MID,FWD,421000,779,41.0
1017124,Ned,Long,MID,,421000,316,45.1
1013229,Jacob,Blight,DEF,,421000,156,52.0
